area,rooms,age,price
50,2,2,182.5
50,2,17,144.9
50,2,23,118.4
55,2,8,165.3
65,2,9,188.5
70,2,19,178.6
70,2,22,169.5
70,2,24,154.4
75,2,11,220.7
80,3,2,263.5
90,3,4,289.4
95,3,4,298.5
95,3,10,274.2
95,3,14,270.2
95,3,23,239.7
100,3,18,276.7
110,3,1,346.1
110,3,1,356.7
110,3,13,311.4
115,3,2,349.6
115,3,9,317.9
115,3,9,331.2
115,3,11,323.4
120,4,2,392.0
125,4,13,361.5
130,4,3,406.2
130,4,26,334.8
135,4,1,420.3
135,4,1,428.4
135,4,3,425.0
135,4,9,402.6
135,4,18,358.9
135,4,20,363.5
135,4,29,334.2
140,4,6,412.6
150,4,2,456.7
155,4,9,435.6
155,4,11,434.4
155,4,12,442.2
160,5,7,472.3
