hours,prev_score,attendance,passed
4.8,46,63,0
11.6,31,98,1
16.7,63,75,1
9.4,90,65,1
12.8,49,54,0
10.5,31,82,0
15.5,50,88,1
15.6,64,70,1
11.9,79,85,1
14.6,86,99,1
2.7,76,46,0
5.2,85,89,1
12.5,68,66,1
7.0,82,77,1
4.6,73,83,1
5.6,50,84,0
17.2,43,85,1
19.8,64,58,1
2.5,91,94,1
6.9,38,66,0
17.9,32,58,1
2.4,35,64,0
14.4,72,75,1
10.1,34,59,0
0.1,43,78,0
19.4,67,79,1
5.3,35,95,0
2.8,78,64,1
9.2,79,81,1
2.1,94,57,0
8.6,60,99,1
10.4,73,40,1
15.8,70,41,1
2.7,72,69,1
7.1,75,78,1
0.4,37,83,0
0.4,77,56,0
12.0,52,63,1
3.7,77,94,1
7.5,33,76,0
13.7,46,59,0
5.4,71,51,0
13.6,42,46,0
13.5,58,68,1
16.2,51,45,1
17.7,87,57,1
4.5,45,42,0
16.1,53,95,1
5.6,40,91,0
8.4,64,69,0
6.9,83,58,0
18.4,49,52,1
0.1,95,67,0
14.3,34,87,1
9.1,66,74,1
1.4,66,47,0
16.2,35,42,1
18.5,85,76,1
1.0,91,87,1
4.8,32,73,0
10.7,36,100,1
2.5,91,91,1
15.6,75,54,1
16.3,51,55,1
15.8,46,92,1
11.4,81,43,1
15.1,61,57,1
1.0,71,89,0
16.4,37,89,1
1.4,34,94,0
14.3,95,72,1
1.4,79,81,1
7.8,68,63,1
8.6,46,75,1
0.1,78,90,1
7.5,78,80,1
16.0,85,43,1
14.1,83,100,1
13.9,88,41,1
13.9,39,91,1
8.5,84,48,1
7.5,63,47,0
9.3,45,100,1
17.7,78,82,1
2.2,70,76,0
14.3,90,49,1
4.7,79,42,0
13.2,78,51,1
16.4,73,93,1
2.3,91,93,1
13.9,66,77,1
19.9,95,73,1
14.3,43,75,1
1.2,71,95,0
11.3,39,55,1
9.1,80,56,1
7.3,80,100,1
1.7,94,55,1
19.5,82,93,1
13.8,91,49,1
12.9,49,50,1
18.3,86,77,1
14.4,53,48,1
11.7,70,99,1
4.6,67,82,1
17.1,64,96,1
4.4,32,57,0
3.4,76,55,0
6.4,48,66,1
12.0,89,77,1
16.7,33,70,1
19.0,35,69,1
18.2,60,81,1
19.2,62,55,1
17.8,63,48,1
17.2,62,50,1
17.3,70,51,1
1.7,41,56,0
16.7,67,42,1
13.5,30,41,1
6.7,85,64,1
11.7,92,65,1
2.5,70,47,0
8.7,86,96,1
10.5,62,46,0
13.6,77,88,1
9.0,63,46,0
13.5,44,82,0
9.9,75,43,1
11.3,53,81,0
12.9,49,51,0
9.1,43,99,1
11.2,72,81,1
11.1,53,69,0
9.6,52,85,1
15.1,80,62,1
2.0,64,64,0
9.6,64,55,1
13.9,95,62,1
9.0,38,62,0
10.0,44,49,0
2.3,44,51,0
14.0,83,82,1
15.0,48,95,1
8.0,54,74,0
4.0,62,63,0
15.6,33,93,1
19.0,79,60,1
11.1,69,80,1
14.1,91,41,1
12.0,30,46,0
9.8,88,52,1
3.9,57,42,0
18.9,44,76,1
5.7,49,48,0
18.5,33,63,1
12.4,94,44,1
6.8,72,95,1
6.9,47,45,0
18.5,40,87,1
