age,km,engine,fuel,gearbox,price
15,296000,1.6,diesel,manual,304.0
6,58000,1.6,diesel,manual,829.0
3,285000,1.0,lpg,auto,623.1
6,17000,,petrol,manual,827.5
2,107000,,lpg,manual,781.1
19,110000,2.0,petrol,auto,406.3
16,12000,1.0,diesel,auto,579.8
3,140000,1.4,petrol,auto,813.6
1,45000,2.0,petrol,auto,1009.1
3,18000,,petrol,manual,865.6
2,250000,1.6,lpg,auto,679.6
7,148000,,petrol,auto,691.4
11,17000,1.6,petrol,manual,669.5
2,248000,,petrol,manual,675.5
15,270000,1.2,lpg,manual,219.5
13,225000,1.2,petrol,auto,424.1
19,165000,1.0,petrol,manual,218.7
19,61000,1.0,petrol,manual,382.7
15,142000,1.0,lpg,auto,427.4
3,56000,1.2,lpg,manual,790.8
1,198000,,lpg,auto,789.9
19,79000,1.6,petrol,manual,394.3
10,126000,2.0,petrol,manual,615.2
18,110000,1.6,diesel,manual,437.3
14,34000,1.0,petrol,manual,516.8
13,141000,1.6,lpg,auto,510.8
10,276000,1.2,lpg,manual,382.8
3,153000,1.2,petrol,manual,734.4
3,147000,,diesel,manual,805.7
12,281000,2.0,petrol,manual,379.1
12,80000,1.6,diesel,manual,582.5
16,193000,1.4,petrol,manual,301.9
3,256000,1.0,lpg,auto,600.4
3,241000,2.0,diesel,manual,778.5
5,184000,1.4,petrol,auto,726.2
14,25000,,lpg,manual,535.2
13,204000,2.0,petrol,manual,454.1
9,223000,1.4,diesel,auto,599.1
15,246000,2.0,petrol,manual,326.5
1,127000,1.0,diesel,auto,899.5
9,15000,1.4,diesel,manual,755.2
6,185000,1.6,diesel,manual,658.6
11,217000,1.4,petrol,auto,502.3
7,119000,1.6,petrol,auto,695.6
7,79000,1.2,diesel,auto,807.3
3,151000,1.2,petrol,auto,747.0
16,150000,1.2,diesel,auto,444.2
11,241000,1.4,petrol,manual,396.0
9,31000,1.4,lpg,auto,721.3
1,79000,1.6,diesel,manual,955.8
1,146000,1.2,petrol,manual,792.3
4,284000,1.4,petrol,manual,558.7
7,253000,1.4,petrol,manual,510.4
2,101000,1.2,diesel,auto,882.6
18,276000,2.0,lpg,manual,167.4
8,54000,1.6,lpg,auto,767.4
5,240000,1.6,petrol,manual,575.3
17,185000,1.6,diesel,manual,377.8
4,73000,1.2,petrol,auto,883.9
18,174000,1.4,lpg,manual,262.5
12,268000,1.0,petrol,auto,373.9
9,259000,1.0,petrol,manual,438.9
14,27000,1.2,lpg,auto,569.8
16,86000,2.0,lpg,auto,475.5
16,54000,1.2,diesel,auto,575.9
6,277000,2.0,lpg,auto,562.1
10,205000,2.0,petrol,auto,597.5
17,149000,2.0,diesel,manual,387.0
14,284000,1.0,lpg,manual,232.2
2,274000,,lpg,manual,616.0
16,57000,,petrol,auto,477.6
13,147000,1.2,diesel,auto,569.6
5,183000,1.6,diesel,auto,769.3
1,143000,1.2,lpg,manual,778.5
2,109000,1.2,petrol,manual,790.0
12,135000,2.0,diesel,manual,565.9
16,72000,2.0,lpg,auto,522.2
14,21000,1.6,lpg,auto,588.5
17,91000,2.0,petrol,manual,409.4
19,79000,,lpg,auto,381.6
6,171000,2.0,diesel,manual,721.7
4,78000,1.2,petrol,manual,837.4
9,208000,1.0,diesel,auto,552.1
7,216000,1.0,petrol,manual,518.8
19,193000,1.4,petrol,auto,267.3
7,46000,1.6,petrol,manual,748.9
2,292000,,lpg,auto,684.8
7,98000,1.2,diesel,manual,722.4
19,41000,1.2,lpg,auto,437.1
13,249000,1.6,lpg,auto,396.9
14,117000,2.0,diesel,manual,540.8
7,102000,1.6,diesel,auto,783.9
12,217000,1.2,lpg,manual,403.7
11,53000,1.6,lpg,manual,627.6
17,184000,1.4,diesel,manual,349.5
13,78000,1.4,lpg,auto,538.0
14,102000,,petrol,manual,506.7
16,61000,1.0,diesel,manual,497.0
8,149000,1.4,diesel,manual,628.5
18,49000,1.6,lpg,auto,453.4
7,71000,1.6,lpg,manual,708.4
8,141000,1.6,diesel,manual,667.6
7,202000,1.0,petrol,auto,596.6
18,286000,2.0,diesel,manual,285.5
15,49000,2.0,lpg,manual,494.0
13,251000,1.2,diesel,manual,404.7
14,263000,1.6,diesel,auto,400.7
10,257000,1.4,lpg,auto,446.4
10,23000,1.0,petrol,manual,642.3
13,37000,1.4,lpg,auto,600.6
2,173000,1.0,petrol,auto,766.1
8,33000,2.0,petrol,auto,801.3
5,135000,2.0,lpg,manual,729.3
4,114000,1.0,diesel,manual,773.4
4,196000,1.6,petrol,auto,709.9
19,224000,1.4,lpg,manual,189.5
10,75000,,diesel,manual,639.0
17,193000,1.4,diesel,manual,340.4
9,132000,1.2,petrol,manual,578.5
2,14000,1.4,diesel,auto,1009.1
