age,income,visits,churn
67,86000,6,1
42,147000,23,0
26,197000,13,0
57,128000,2,1
24,33000,46,0
58,199000,28,0
40,26000,14,1
60,56000,40,0
31,200000,24,0
54,84000,43,0
38,158000,6,1
48,163000,29,0
61,176000,11,0
38,184000,34,0
30,161000,8,1
54,82000,37,0
35,163000,22,0
52,90000,50,0
47,152000,14,0
68,42000,46,0
68,138000,16,0
65,163000,7,0
42,54000,29,0
44,112000,2,1
28,69000,44,0
65,26000,35,0
46,35000,23,1
49,61000,3,1
22,79000,30,0
47,87000,14,1
23,38000,36,0
52,154000,16,0
34,37000,27,1
66,99000,43,0
44,54000,40,0
62,175000,48,0
33,151000,19,0
53,168000,36,0
21,84000,7,1
53,198000,28,0
33,54000,43,0
52,41000,16,1
53,132000,29,0
39,108000,2,1
68,48000,48,0
61,19000,12,1
59,127000,48,0
62,82000,31,0
56,188000,35,0
52,88000,17,0
23,69000,4,1
67,16000,44,0
47,166000,27,0
40,89000,18,1
39,53000,25,1
60,134000,49,0
53,77000,35,0
31,79000,10,1
50,106000,8,0
35,156000,50,0
46,13000,3,1
33,156000,41,0
48,22000,27,1
41,156000,10,0
57,35000,12,1
61,104000,19,0
23,171000,45,0
25,58000,2,1
26,168000,44,0
48,193000,19,0
54,24000,3,1
38,19000,9,1
40,35000,11,1
45,93000,49,0
57,68000,35,0
60,104000,35,0
59,68000,48,0
47,180000,41,0
26,103000,25,1
20,137000,26,0
40,197000,14,0
31,92000,27,0
45,26000,3,1
70,53000,38,0
44,105000,16,1
36,126000,12,1
43,106000,37,0
57,173000,28,0
70,167000,12,0
60,122000,5,0
47,12000,26,1
65,20000,27,0
42,101000,48,0
35,196000,11,0
27,166000,5,1
47,150000,49,0
25,29000,28,1
59,91000,8,1
57,16000,49,0
59,62000,23,0
68,91000,18,0
52,150000,19,0
39,17000,15,1
53,51000,5,1
62,47000,43,0
37,76000,8,1
70,161000,6,0
20,196000,31,0
58,21000,33,0
44,174000,42,0
18,62000,48,0
60,45000,12,1
31,137000,4,1
34,12000,39,0
69,110000,49,0
44,23000,41,0
19,47000,10,1
55,143000,36,0
44,14000,32,1
60,195000,40,0
20,54000,14,1
25,48000,11,1
26,161000,43,0
45,141000,13,0
69,55000,34,0
56,64000,5,1
35,180000,39,0
69,44000,8,1
50,122000,23,0
42,97000,50,0
69,37000,46,0
45,129000,14,1
28,155000,36,0
54,163000,7,0
67,45000,48,0
41,175000,3,0
66,21000,29,0
34,101000,48,0
31,130000,46,0
23,121000,31,0
68,38000,26,0
59,199000,2,0
29,156000,42,0
67,96000,45,0
27,39000,47,0
39,112000,41,0
62,48000,27,0
51,151000,39,0
58,171000,37,0
43,184000,48,0
29,165000,18,0
27,14000,22,1
68,88000,36,0
40,195000,4,0
67,117000,43,0
29,41000,2,1
57,168000,15,0
33,166000,6,0
70,172000,34,0
30,66000,44,0
29,149000,10,0
67,199000,27,0
39,106000,35,0
65,25000,48,0
42,92000,38,0
21,44000,8,1
29,41000,28,1
28,37000,43,0
41,97000,19,0
47,199000,40,0
31,156000,49,0
56,84000,33,0
20,179000,11,0
70,129000,35,0
43,175000,42,0
64,104000,41,0
46,70000,35,0
30,192000,3,0
35,159000,13,1
55,12000,18,1
34,136000,34,0
45,119000,13,1
25,193000,14,1
44,42000,48,0
35,58000,18,1
33,13000,41,0
61,87000,33,0
29,117000,13,1
30,22000,35,1
19,12000,12,1
41,21000,48,0
62,95000,37,0
48,172000,50,0
35,27000,50,0
26,13000,7,1
33,47000,6,1
62,124000,34,0
63,23000,3,1
53,182000,11,0
57,133000,1,1
