amount,hour,attempts,fraud
73.45,15,1,0
157.02,5,2,0
57.43,12,1,0
105.63,10,1,0
118.15,22,2,0
189.7,21,2,0
113.33,9,2,0
53.94,18,1,0
123.95,3,1,0
64.08,20,1,0
36.07,3,2,0
94.21,14,2,0
13.54,21,3,0
50.32,9,2,0
20.48,1,3,0
129.56,18,1,0
40.17,6,6,0
115.99,8,1,0
103.93,10,3,0
61.54,13,2,0
91.28,17,3,0
146.03,5,2,0
43.01,5,1,0
16.23,9,1,0
102.81,12,3,0
171.87,10,3,1
109.6,18,2,0
134.2,2,2,0
108.66,15,1,0
15.71,2,2,0
59.55,15,1,0
51.47,21,2,0
90.98,2,3,1
107.6,23,2,0
100.47,8,1,0
144.96,3,3,0
62.89,5,4,0
160.17,8,2,0
18.95,23,1,0
98.68,16,3,0
32.02,3,1,0
25.43,3,5,1
164.03,20,1,0
57.23,1,2,0
85.08,3,2,0
240.27,21,1,0
46.17,9,2,0
191.0,6,2,0
40.08,0,1,0
70.81,22,2,0
40.48,6,1,0
88.86,12,2,0
60.86,21,1,0
49.58,14,1,0
62.3,11,2,0
167.05,12,2,0
250.53,9,2,0
50.57,12,1,0
166.06,17,3,0
37.62,6,1,0
107.44,12,3,0
58.65,15,2,0
82.08,21,5,1
72.81,10,4,0
52.25,1,2,0
10.99,20,2,0
121.79,23,1,0
106.32,6,1,0
165.91,2,2,0
139.18,4,3,1
41.72,6,4,0
49.51,20,3,0
47.2,2,1,0
85.52,12,2,0
13.5,0,2,0
83.99,5,1,0
106.18,0,1,0
40.84,18,3,0
118.87,0,2,0
253.17,6,1,0
93.61,22,2,0
104.94,17,3,0
82.65,16,1,0
20.29,15,3,0
149.18,13,2,0
78.39,7,2,0
108.98,15,1,0
88.91,15,2,0
76.58,12,1,0
63.53,11,1,0
93.78,22,1,0
106.42,0,1,0
128.82,19,3,0
40.48,23,1,0
46.6,16,3,0
46.2,6,4,0
36.83,16,3,0
73.98,9,3,0
72.1,15,2,0
213.36,21,2,0
99.57,4,2,0
21.32,16,4,0
137.56,18,3,0
86.07,4,5,1
75.92,17,1,0
90.59,15,1,0
109.9,8,4,0
121.48,0,4,0
29.72,9,2,0
202.87,17,1,0
48.43,16,2,0
50.85,14,2,0
76.4,19,2,0
82.06,15,1,0
