spend,visits,items,returns
371.7,15,26,4
208.1,8,12,1
549.25,13,17,2
60.32,3,5,0
80.03,14,6,2
40.62,2,2,0
111.89,5,8,0
444.52,20,28,3
434.17,18,23,5
368.64,19,25,1
55.64,1,6,1
39.14,4,4,1
168.87,11,9,1
168.73,8,14,1
44.37,17,11,2
462.96,17,18,3
169.28,10,7,2
42.26,5,6,0
45.92,3,3,1
50.24,3,6,1
156.12,5,9,1
204.93,9,11,0
27.13,3,6,1
37.96,22,7,2
178.08,8,13,0
70.23,4,4,0
437.75,19,24,5
101.06,26,8,3
52.23,1,4,0
84.91,16,6,3
500.57,17,22,2
143.8,9,6,2
33.26,3,4,0
170.23,7,13,3
372.57,10,29,5
353.23,13,22,2
63.4,18,5,1
39.48,20,5,3
339.06,15,19,4
226.09,11,11,0
549.65,20,26,4
232.71,8,9,2
48.44,2,5,0
184.25,7,16,0
44.69,19,8,1
62.07,3,5,0
255.97,8,12,3
50.32,5,4,0
56.3,3,1,1
34.67,21,3,4
299.89,15,25,5
432.74,16,19,4
66.24,14,3,1
451.05,13,20,3
77.52,20,8,3
209.27,4,15,1
163.19,11,11,1
59.87,22,5,4
297.17,17,27,3
48.39,4,4,1
126.54,6,13,0
69.44,19,6,3
76.69,18,6,3
203.24,8,11,0
37.42,4,6,0
89.18,21,9,3
70.51,21,5,3
232.18,11,9,0
51.92,19,4,4
203.97,1,10,3
74.62,19,4,0
52.37,3,4,0
41.92,3,5,1
30.61,3,2,1
229.97,10,12,1
216.51,6,9,1
153.41,7,4,0
41.77,3,5,0
29.27,3,4,1
29.17,2,4,0
56.21,4,7,0
66.08,2,4,1
79.42,20,8,2
178.45,10,10,1
19.23,5,4,0
31.7,4,3,1
79.67,17,7,4
561.47,12,20,4
16.84,18,8,2
166.41,11,18,0
421.22,13,18,2
53.11,3,1,0
173.78,6,10,2
62.35,4,5,0
218.08,6,16,0
31.28,5,5,0
469.91,13,13,5
217.19,7,11,0
78.53,18,5,2
178.96,9,11,2
221.76,9,11,3
143.18,8,11,3
65.96,22,8,2
56.36,3,1,0
12.63,3,4,0
130.74,8,15,1
435.64,13,31,4
42.88,20,4,2
278.51,9,14,1
523.39,19,22,3
408.62,13,26,4
505.4,12,25,5
55.35,2,6,0
426.52,17,27,3
38.33,5,6,0
38.21,2,2,0
49.15,2,4,1
51.77,19,6,3
66.95,20,4,4
345.22,15,20,5
546.15,19,20,3
221.23,7,7,0
193.48,9,10,2
214.26,6,14,3
44.68,4,7,1
170.7,6,9,1
474.55,16,26,1
49.92,4,5,1
14.7,3,2,0
209.38,10,5,1
154.1,11,11,1
419.89,16,22,1
75.72,18,7,1
384.64,18,24,3
227.95,9,11,0
226.48,10,16,2
36.48,4,4,0
429.33,15,23,5
198.1,8,11,2
39.42,2,4,1
14.49,4,5,0
59.37,4,3,0
71.01,18,7,6
28.85,3,4,1
576.89,16,22,4
104.05,9,10,2
70.66,15,4,4
377.5,20,23,5
542.31,16,18,0
448.09,20,21,5
603.54,11,28,3
44.21,2,3,0
35.86,18,8,3
124.0,11,9,2
324.07,16,25,3
190.37,10,13,1
524.57,12,20,3
68.19,2,4,0
206.55,9,10,1
7.59,3,2,1
386.28,6,18,3
362.9,16,21,1
62.78,19,5,2
60.03,4,5,2
208.23,4,7,1
172.84,10,7,0
84.07,19,6,4
26.26,2,7,0
82.81,22,7,1
37.28,21,7,4
121.84,7,15,2
23.09,5,4,0
125.97,9,13,0
46.37,5,4,0
68.86,4,5,0
46.08,17,5,3
484.69,12,23,5
207.06,9,14,1
53.98,18,9,3
59.49,21,7,3
206.0,8,13,2
30.07,19,5,2
40.78,1,5,0
33.0,3,5,1
49.04,17,5,1
63.24,22,7,3
147.07,6,5,2
206.42,9,18,1
87.87,20,6,2
44.93,3,5,0
202.14,10,7,1
55.51,3,3,0
56.36,4,5,0
486.61,12,31,1
34.98,3,3,0
443.9,15,13,4
125.04,7,10,2
41.42,4,4,1
39.71,4,3,0
437.98,11,24,2
36.05,2,2,0
31.11,3,4,0
35.41,4,3,1
169.32,6,13,1
159.22,10,10,0
65.55,3,3,0
88.57,18,10,3
548.73,18,19,2
309.25,21,27,0
19.97,2,3,0
33.0,2,6,1
217.22,7,16,2
347.13,12,21,4
93.31,8,12,0
158.75,11,12,1
173.65,6,14,1
64.56,21,2,3
440.81,10,17,4
448.32,23,28,1
543.73,12,29,5
276.0,15,10,4
487.29,17,24,4
175.56,8,12,0
215.76,9,9,1
62.19,23,4,3
352.79,15,29,4
35.86,4,4,0
391.23,17,19,4
57.15,22,6,3
51.31,19,6,3
379.96,14,25,2
56.29,5,6,0
64.7,17,4,3
344.3,16,37,1
19.05,2,4,0
437.92,15,21,5
179.97,9,10,2
49.15,19,7,2
437.99,17,25,4
58.72,26,9,4
194.3,11,15,1
121.73,8,10,1
42.0,2,4,0
320.89,14,27,6
42.22,16,7,1
51.6,16,7,2
498.47,12,23,3
90.82,19,6,2
32.02,3,4,0
214.23,7,12,1
53.74,1,3,1
40.96,3,4,1
200.69,7,14,0
20.42,4,4,0
48.37,2,7,0
488.37,13,24,4
58.24,3,4,1
151.52,6,12,1
53.18,3,2,0
30.54,3,3,0
54.1,18,4,2
465.67,17,21,4
50.08,24,9,2
314.95,19,25,3
53.76,3,7,1
68.8,23,10,2
174.72,9,11,1
55.05,4,2,1
180.55,13,11,1
244.33,8,16,1
304.37,17,27,5
193.1,8,11,1
45.39,2,3,0
66.09,3,5,0
450.93,12,28,1
355.68,17,25,2
253.88,18,23,2
354.82,17,26,1
63.01,23,4,0
94.84,6,6,1
36.31,22,3,2
38.41,21,6,3
146.02,9,13,2
71.34,20,8,2
63.03,24,6,2
40.18,4,3,1
119.54,9,9,0
80.34,21,5,1
183.46,9,13,3
416.58,12,14,5
5.0,3,5,0
214.66,8,10,1
51.27,3,4,0
368.18,11,19,5
70.48,24,9,3
47.91,4,4,0
196.82,10,12,1
474.85,18,26,2
118.69,10,11,0
29.78,18,5,3
209.11,11,11,0
515.3,20,32,5
48.23,4,3,0
483.16,13,25,2
203.22,9,18,1
6.67,3,4,0
234.98,12,14,1
50.25,13,8,3
132.09,7,13,0
330.93,15,26,2
98.74,17,8,2
199.09,10,7,2
171.67,10,9,1
489.89,14,24,2
245.78,9,13,1
75.61,3,6,0
41.78,3,5,1
41.35,5,3,0
503.78,13,20,2
61.67,3,4,0
45.36,2,1,0
30.94,23,8,3
112.37,7,14,1
53.71,2,4,0
83.74,10,9,1
41.52,4,5,1
33.43,14,3,2
49.87,13,9,1
232.14,8,14,1
63.2,4,4,1
196.73,8,12,0
37.53,3,5,0
183.02,9,10,1
48.45,16,9,4
387.07,20,20,5
70.96,17,8,2
173.82,6,8,1
74.03,4,4,0
53.63,2,3,1
193.6,8,12,1
161.28,7,8,1
132.12,7,9,2
171.0,6,9,0
400.44,13,29,3
157.21,7,10,0
319.47,11,29,4
474.56,16,21,3
132.84,7,12,1
370.93,12,23,5
146.34,7,9,1
