city,plan,tenure,monthly,support,churn
Izmir,plus,47,78.78,1.0,0
Izmir,plus,53,,1.0,0
Izmir,pro,50,40.13,0.0,0
Ankara,plus,3,117.23,1.0,1
Izmir,plus,30,59.55,1.0,0
Bursa,basic,31,38.21,1.0,0
Ankara,basic,28,48.05,1.0,1
Ankara,basic,32,43.52,1.0,0
Bursa,basic,39,113.66,2.0,1
Izmir,basic,28,92.76,2.0,1
Ankara,plus,8,62.11,4.0,1
Izmir,pro,4,72.41,0.0,0
Bursa,basic,1,91.98,1.0,1
Ankara,plus,57,53.85,1.0,0
Bursa,pro,31,59.77,1.0,0
Izmir,pro,57,67.78,0.0,0
Ankara,basic,40,62.05,2.0,0
Ankara,plus,11,81.5,,1
,plus,51,99.13,2.0,0
Ankara,basic,34,31.32,1.0,1
Ankara,basic,38,120.78,1.0,1
Izmir,plus,23,49.13,2.0,1
Ankara,plus,3,21.46,1.0,0
Ankara,plus,7,57.27,3.0,0
Ankara,basic,3,,2.0,1
Izmir,basic,22,43.7,2.0,0
Izmir,plus,50,46.46,2.0,0
Izmir,basic,45,84.88,2.0,0
Ankara,basic,45,70.68,5.0,1
Ankara,plus,19,80.58,1.0,1
Izmir,basic,34,122.73,1.0,1
Ankara,basic,56,63.89,1.0,0
Izmir,plus,35,68.22,2.0,0
Izmir,plus,43,67.69,3.0,0
Izmir,basic,53,101.69,1.0,0
Ankara,plus,55,150.64,0.0,1
Ankara,plus,45,100.49,0.0,0
Ankara,pro,51,104.88,2.0,0
Izmir,basic,47,,0.0,0
Ankara,plus,44,45.34,2.0,1
Ankara,basic,36,90.49,1.0,0
Ankara,basic,58,53.29,0.0,0
Bursa,plus,52,,0.0,0
Izmir,basic,34,86.25,1.0,1
Izmir,plus,34,143.83,2.0,0
Ankara,basic,7,91.79,1.0,0
Bursa,plus,44,154.52,4.0,1
Ankara,basic,20,86.64,1.0,1
Izmir,basic,46,94.81,1.0,0
Ankara,basic,23,122.22,1.0,1
Izmir,basic,11,156.84,1.0,0
Bursa,plus,52,104.9,1.0,0
Izmir,basic,2,62.38,0.0,1
Ankara,plus,41,66.71,,0
Izmir,plus,42,58.59,0.0,0
,pro,27,31.6,1.0,0
Bursa,plus,26,109.55,0.0,0
Ankara,plus,19,115.97,2.0,1
Ankara,basic,57,105.27,0.0,0
Ankara,plus,49,192.29,1.0,0
Ankara,pro,47,74.49,,0
Bursa,plus,24,64.19,1.0,0
Izmir,plus,51,102.74,0.0,0
Izmir,plus,47,86.42,0.0,0
Ankara,basic,23,54.8,0.0,0
Ankara,basic,27,65.59,1.0,1
Ankara,pro,46,47.04,3.0,0
Izmir,basic,39,69.9,2.0,1
Izmir,basic,44,68.2,1.0,0
Izmir,basic,54,94.64,0.0,0
Ankara,plus,28,174.25,2.0,1
Ankara,basic,38,81.65,1.0,0
Ankara,basic,52,76.9,1.0,1
Ankara,basic,53,67.93,0.0,0
Izmir,plus,51,70.82,0.0,0
Bursa,basic,30,111.37,1.0,1
Bursa,pro,35,40.21,,0
Ankara,pro,11,91.19,2.0,0
Izmir,pro,33,,3.0,0
Ankara,basic,10,113.05,1.0,0
Ankara,basic,27,85.87,0.0,0
Izmir,plus,8,45.65,1.0,0
Ankara,plus,8,53.38,3.0,0
Bursa,basic,20,41.66,1.0,0
,basic,37,67.04,0.0,1
Izmir,basic,4,104.55,1.0,1
Izmir,pro,12,100.64,1.0,0
Bursa,basic,10,49.62,0.0,1
Bursa,plus,23,90.66,1.0,1
Ankara,basic,24,,2.0,1
Bursa,plus,57,80.41,0.0,0
Ankara,basic,49,143.47,0.0,0
Ankara,plus,19,36.28,2.0,0
Bursa,basic,28,181.98,1.0,1
Bursa,plus,11,,0.0,1
Izmir,basic,55,102.24,1.0,0
Izmir,pro,16,40.1,0.0,0
Ankara,pro,22,51.5,1.0,0
Ankara,basic,8,56.67,2.0,1
Bursa,basic,57,,,0
Bursa,plus,37,28.31,1.0,1
Ankara,basic,56,49.84,2.0,1
Izmir,plus,52,149.95,1.0,1
Ankara,pro,52,,,0
Izmir,plus,9,99.62,1.0,0
Ankara,plus,37,40.28,0.0,0
Ankara,pro,7,85.57,2.0,1
Ankara,plus,14,78.59,2.0,0
Izmir,basic,28,127.69,0.0,0
Izmir,basic,31,94.03,0.0,0
,basic,42,90.57,1.0,0
Ankara,plus,35,71.03,0.0,0
Izmir,basic,52,29.76,1.0,0
Ankara,basic,28,66.98,0.0,0
Izmir,plus,21,185.38,4.0,1
Ankara,plus,52,,2.0,0
Izmir,basic,53,39.12,3.0,1
Izmir,pro,25,50.07,0.0,1
Ankara,plus,17,215.07,2.0,1
Izmir,basic,3,96.58,,1
Izmir,basic,16,61.52,2.0,1
Bursa,basic,3,133.13,3.0,1
Ankara,plus,39,145.5,2.0,1
Ankara,pro,28,96.61,2.0,0
Bursa,plus,56,37.2,1.0,0
Bursa,basic,58,65.17,1.0,1
Izmir,pro,52,104.52,3.0,0
Ankara,basic,34,75.61,2.0,0
Izmir,plus,32,42.18,4.0,0
Izmir,basic,25,,3.0,1
Izmir,basic,19,101.64,0.0,0
Izmir,basic,37,77.81,1.0,0
Bursa,basic,28,64.87,0.0,0
Ankara,plus,51,79.92,1.0,0
Izmir,basic,27,90.95,0.0,0
Bursa,plus,21,91.29,0.0,0
Ankara,basic,28,62.01,0.0,1
Ankara,pro,47,54.37,5.0,1
Izmir,plus,18,111.22,1.0,0
Ankara,plus,5,72.17,2.0,0
Bursa,basic,43,128.37,0.0,1
Izmir,pro,23,100.27,1.0,0
Izmir,plus,21,63.17,2.0,0
Izmir,plus,23,67.53,1.0,0
Ankara,basic,34,44.24,1.0,0
Ankara,plus,29,,2.0,0
Ankara,basic,1,68.21,1.0,1
Izmir,basic,32,52.11,1.0,0
Ankara,plus,51,54.18,1.0,0
Ankara,basic,18,68.13,3.0,1
Ankara,plus,55,79.96,2.0,0
Ankara,plus,9,69.22,0.0,0
,basic,44,69.8,0.0,1
Ankara,basic,54,170.79,1.0,0
Izmir,plus,50,64.57,3.0,0
Ankara,basic,37,33.11,0.0,0
Bursa,pro,19,101.31,1.0,1
Bursa,pro,5,98.62,0.0,1
Ankara,plus,39,115.6,1.0,1
Bursa,plus,39,,1.0,0
Ankara,basic,14,162.08,2.0,1
Izmir,basic,6,73.09,0.0,1
Ankara,basic,49,91.1,,0
Ankara,plus,26,72.37,0.0,0
Ankara,basic,28,,4.0,1
Ankara,basic,5,69.44,0.0,1
Ankara,basic,59,121.95,2.0,0
Ankara,basic,58,94.05,4.0,1
Ankara,plus,54,157.7,,1
Ankara,basic,25,93.99,0.0,1
Bursa,plus,11,71.61,1.0,1
Ankara,basic,38,110.82,4.0,1
Bursa,plus,52,46.69,1.0,0
Izmir,pro,41,54.7,1.0,0
Izmir,basic,25,38.95,4.0,0
Ankara,basic,2,234.8,2.0,1
Izmir,pro,18,105.82,1.0,0
Ankara,basic,58,95.93,1.0,0
Bursa,plus,19,,1.0,0
Ankara,plus,10,,3.0,1
Ankara,basic,34,54.32,3.0,1
Ankara,basic,2,39.41,1.0,1
Ankara,plus,39,113.64,3.0,0
Ankara,plus,28,39.93,0.0,0
Ankara,basic,50,105.95,1.0,0
Izmir,basic,30,49.47,1.0,1
Bursa,basic,2,200.16,2.0,1
Ankara,plus,55,56.93,3.0,0
Izmir,plus,1,71.08,0.0,0
Bursa,basic,36,60.17,4.0,1
Izmir,basic,15,40.27,0.0,1
Ankara,plus,50,85.84,2.0,0
Ankara,basic,45,42.62,,0
Bursa,plus,21,30.22,2.0,1
Izmir,basic,7,137.15,2.0,0
Izmir,basic,31,100.18,1.0,0
Ankara,basic,28,60.07,3.0,1
Izmir,plus,31,35.62,2.0,0
Izmir,plus,27,41.09,1.0,0
Izmir,basic,18,91.9,1.0,0
Ankara,basic,17,43.13,0.0,1
Ankara,basic,32,65.39,1.0,1
Ankara,plus,23,27.71,0.0,0
Izmir,basic,5,112.37,3.0,1
Ankara,pro,38,56.33,1.0,0
Ankara,basic,35,90.08,2.0,0
Izmir,basic,9,,2.0,0
Ankara,pro,2,,5.0,1
Ankara,pro,49,,5.0,1
Ankara,basic,11,62.84,1.0,1
Izmir,basic,2,67.18,3.0,1
Izmir,basic,54,171.34,1.0,0
Ankara,basic,52,181.86,0.0,1
Izmir,pro,47,,3.0,0
Bursa,plus,53,79.32,0.0,0
Izmir,basic,18,28.95,0.0,0
Ankara,basic,55,,3.0,0
Bursa,pro,39,35.61,0.0,0
Bursa,plus,25,99.64,4.0,1
Izmir,pro,18,183.76,1.0,0
Ankara,plus,5,87.53,1.0,1
,pro,11,50.52,1.0,0
Ankara,basic,46,66.97,1.0,1
Bursa,basic,22,80.8,3.0,1
Ankara,plus,13,122.46,1.0,1
Bursa,basic,3,27.28,,1
Ankara,pro,3,34.76,1.0,0
Ankara,basic,26,64.7,1.0,1
Bursa,plus,14,168.24,1.0,1
Izmir,basic,9,42.44,1.0,1
Ankara,plus,2,50.35,2.0,1
Ankara,basic,32,90.26,0.0,1
,pro,28,69.39,0.0,0
Izmir,plus,35,54.68,1.0,0
Bursa,plus,9,96.53,0.0,1
Ankara,plus,47,107.08,3.0,1
Ankara,pro,37,53.13,2.0,0
Ankara,basic,57,86.92,3.0,0
Ankara,plus,37,78.16,1.0,0
Ankara,pro,41,80.92,2.0,0
Izmir,basic,11,68.52,1.0,1
Ankara,plus,47,105.38,4.0,1
Izmir,basic,18,75.68,1.0,0
Ankara,plus,46,153.54,,0
Izmir,basic,16,136.08,,1
Izmir,basic,49,68.74,1.0,0
Ankara,plus,4,135.84,3.0,1
Ankara,basic,40,199.9,1.0,1
Bursa,plus,40,164.08,1.0,1
Bursa,basic,38,81.58,5.0,1
Izmir,basic,23,43.16,0.0,1
Ankara,plus,53,46.82,,1
Izmir,plus,55,85.19,6.0,1
Izmir,plus,42,25.6,0.0,0
Bursa,basic,18,107.36,3.0,1
Ankara,plus,52,,,0
Ankara,pro,9,85.03,1.0,1
Bursa,plus,45,122.49,1.0,0
Izmir,plus,49,55.75,1.0,0
Ankara,basic,7,17.0,2.0,1
Izmir,pro,13,171.75,1.0,1
Bursa,basic,49,30.49,3.0,1
Izmir,pro,39,64.21,3.0,0
Ankara,basic,47,114.84,0.0,1
Ankara,plus,38,74.68,0.0,0
Izmir,basic,24,74.36,2.0,0
Izmir,basic,43,88.01,3.0,0
Ankara,plus,36,50.79,0.0,0
Ankara,basic,54,104.11,3.0,1
Izmir,basic,24,55.25,2.0,0
Ankara,plus,56,57.58,0.0,0
